Title,Bucket,Level,Domain,Practice ID,Parent,Task Type,Priority,Owner,Supporting Owners,Dependencies,Labels,Description,Definition of Done
Collect evidence for AC.L2-3.1.4,L2 Access Control,Level 2,AC,AC.L2-3.1.4,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.4 Separation of Duties; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.4,Collect artifact and operational proof for AC.L2-3.1.4 Separation of Duties.,"Evidence for AC.L2-3.1.4 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.4 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.4,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.4,L2;AC;Remediation;AC.L2-3.1.4,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.4 Separation of Duties.",Gaps for AC.L2-3.1.4 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.5 Least Privilege,L2 Access Control,Level 2,AC,AC.L2-3.1.5,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.5,Validate implementation of AC.L2-3.1.5 Least Privilege in the live CUI environment.,AC.L2-3.1.5 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.5,L2 Access Control,Level 2,AC,AC.L2-3.1.5,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.5 Least Privilege; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.5,Collect artifact and operational proof for AC.L2-3.1.5 Least Privilege.,"Evidence for AC.L2-3.1.5 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.5 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.5,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.5,L2;AC;Remediation;AC.L2-3.1.5,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.5 Least Privilege.",Gaps for AC.L2-3.1.5 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.6 Non-Privileged Account Use,L2 Access Control,Level 2,AC,AC.L2-3.1.6,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.6,Validate implementation of AC.L2-3.1.6 Non-Privileged Account Use in the live CUI environment.,AC.L2-3.1.6 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.6,L2 Access Control,Level 2,AC,AC.L2-3.1.6,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.6 Non-Privileged Account Use; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.6,Collect artifact and operational proof for AC.L2-3.1.6 Non-Privileged Account Use.,"Evidence for AC.L2-3.1.6 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.6 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.6,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.6,L2;AC;Remediation;AC.L2-3.1.6,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.6 Non-Privileged Account Use.",Gaps for AC.L2-3.1.6 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.7 Privileged Functions,L2 Access Control,Level 2,AC,AC.L2-3.1.7,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.7,Validate implementation of AC.L2-3.1.7 Privileged Functions in the live CUI environment.,AC.L2-3.1.7 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.7,L2 Access Control,Level 2,AC,AC.L2-3.1.7,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.7 Privileged Functions; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.7,Collect artifact and operational proof for AC.L2-3.1.7 Privileged Functions.,"Evidence for AC.L2-3.1.7 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.7 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.7,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.7,L2;AC;Remediation;AC.L2-3.1.7,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.7 Privileged Functions.",Gaps for AC.L2-3.1.7 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.8 Unsuccessful Logon Attempts,L2 Access Control,Level 2,AC,AC.L2-3.1.8,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.8,Validate implementation of AC.L2-3.1.8 Unsuccessful Logon Attempts in the live CUI environment.,AC.L2-3.1.8 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.8,L2 Access Control,Level 2,AC,AC.L2-3.1.8,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.8 Unsuccessful Logon Attempts; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.8,Collect artifact and operational proof for AC.L2-3.1.8 Unsuccessful Logon Attempts.,"Evidence for AC.L2-3.1.8 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.8 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.8,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.8,L2;AC;Remediation;AC.L2-3.1.8,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.8 Unsuccessful Logon Attempts.",Gaps for AC.L2-3.1.8 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.9 Privacy and Security Notices,L2 Access Control,Level 2,AC,AC.L2-3.1.9,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.9,Validate implementation of AC.L2-3.1.9 Privacy and Security Notices in the live CUI environment.,AC.L2-3.1.9 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.9,L2 Access Control,Level 2,AC,AC.L2-3.1.9,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.9 Privacy and Security Notices; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.9,Collect artifact and operational proof for AC.L2-3.1.9 Privacy and Security Notices.,"Evidence for AC.L2-3.1.9 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.9 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.9,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.9,L2;AC;Remediation;AC.L2-3.1.9,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.9 Privacy and Security Notices.",Gaps for AC.L2-3.1.9 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.10 Session Lock,L2 Access Control,Level 2,AC,AC.L2-3.1.10,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.10,Validate implementation of AC.L2-3.1.10 Session Lock in the live CUI environment.,AC.L2-3.1.10 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.10,L2 Access Control,Level 2,AC,AC.L2-3.1.10,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.10 Session Lock; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.10,Collect artifact and operational proof for AC.L2-3.1.10 Session Lock.,"Evidence for AC.L2-3.1.10 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.10 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.10,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.10,L2;AC;Remediation;AC.L2-3.1.10,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.10 Session Lock.",Gaps for AC.L2-3.1.10 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.11 Session Termination,L2 Access Control,Level 2,AC,AC.L2-3.1.11,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.11,Validate implementation of AC.L2-3.1.11 Session Termination in the live CUI environment.,AC.L2-3.1.11 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.11,L2 Access Control,Level 2,AC,AC.L2-3.1.11,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.11 Session Termination; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.11,Collect artifact and operational proof for AC.L2-3.1.11 Session Termination.,"Evidence for AC.L2-3.1.11 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.11 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.11,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.11,L2;AC;Remediation;AC.L2-3.1.11,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.11 Session Termination.",Gaps for AC.L2-3.1.11 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.12 Control Remote Access,L2 Access Control,Level 2,AC,AC.L2-3.1.12,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.12,Validate implementation of AC.L2-3.1.12 Control Remote Access in the live CUI environment.,AC.L2-3.1.12 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.12,L2 Access Control,Level 2,AC,AC.L2-3.1.12,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.12 Control Remote Access; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.12,Collect artifact and operational proof for AC.L2-3.1.12 Control Remote Access.,"Evidence for AC.L2-3.1.12 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.12 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.12,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.12,L2;AC;Remediation;AC.L2-3.1.12,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.12 Control Remote Access.",Gaps for AC.L2-3.1.12 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.13 Remote Access Confidentiality,L2 Access Control,Level 2,AC,AC.L2-3.1.13,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.13,Validate implementation of AC.L2-3.1.13 Remote Access Confidentiality in the live CUI environment.,AC.L2-3.1.13 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.13,L2 Access Control,Level 2,AC,AC.L2-3.1.13,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.13 Remote Access Confidentiality; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.13,Collect artifact and operational proof for AC.L2-3.1.13 Remote Access Confidentiality.,"Evidence for AC.L2-3.1.13 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.13 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.13,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.13,L2;AC;Remediation;AC.L2-3.1.13,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.13 Remote Access Confidentiality.",Gaps for AC.L2-3.1.13 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.14 Remote Access Routing,L2 Access Control,Level 2,AC,AC.L2-3.1.14,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.14,Validate implementation of AC.L2-3.1.14 Remote Access Routing in the live CUI environment.,AC.L2-3.1.14 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.14,L2 Access Control,Level 2,AC,AC.L2-3.1.14,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.14 Remote Access Routing; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.14,Collect artifact and operational proof for AC.L2-3.1.14 Remote Access Routing.,"Evidence for AC.L2-3.1.14 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.14 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.14,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.14,L2;AC;Remediation;AC.L2-3.1.14,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.14 Remote Access Routing.",Gaps for AC.L2-3.1.14 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.15 Privileged Remote Access,L2 Access Control,Level 2,AC,AC.L2-3.1.15,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.15,Validate implementation of AC.L2-3.1.15 Privileged Remote Access in the live CUI environment.,AC.L2-3.1.15 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.15,L2 Access Control,Level 2,AC,AC.L2-3.1.15,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.15 Privileged Remote Access; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.15,Collect artifact and operational proof for AC.L2-3.1.15 Privileged Remote Access.,"Evidence for AC.L2-3.1.15 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.15 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.15,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.15,L2;AC;Remediation;AC.L2-3.1.15,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.15 Privileged Remote Access.",Gaps for AC.L2-3.1.15 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.16 Wireless Access Authorization,L2 Access Control,Level 2,AC,AC.L2-3.1.16,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.16,Validate implementation of AC.L2-3.1.16 Wireless Access Authorization in the live CUI environment.,AC.L2-3.1.16 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.16,L2 Access Control,Level 2,AC,AC.L2-3.1.16,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.16 Wireless Access Authorization; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.16,Collect artifact and operational proof for AC.L2-3.1.16 Wireless Access Authorization.,"Evidence for AC.L2-3.1.16 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.16 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.16,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.16,L2;AC;Remediation;AC.L2-3.1.16,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.16 Wireless Access Authorization.",Gaps for AC.L2-3.1.16 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.17 Wireless Access Protection,L2 Access Control,Level 2,AC,AC.L2-3.1.17,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.17,Validate implementation of AC.L2-3.1.17 Wireless Access Protection in the live CUI environment.,AC.L2-3.1.17 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.17,L2 Access Control,Level 2,AC,AC.L2-3.1.17,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.17 Wireless Access Protection; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.17,Collect artifact and operational proof for AC.L2-3.1.17 Wireless Access Protection.,"Evidence for AC.L2-3.1.17 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.17 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.17,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.17,L2;AC;Remediation;AC.L2-3.1.17,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.17 Wireless Access Protection.",Gaps for AC.L2-3.1.17 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.18 Mobile Device Connection,L2 Access Control,Level 2,AC,AC.L2-3.1.18,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.18,Validate implementation of AC.L2-3.1.18 Mobile Device Connection in the live CUI environment.,AC.L2-3.1.18 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.18,L2 Access Control,Level 2,AC,AC.L2-3.1.18,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.18 Mobile Device Connection; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.18,Collect artifact and operational proof for AC.L2-3.1.18 Mobile Device Connection.,"Evidence for AC.L2-3.1.18 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.18 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.18,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.18,L2;AC;Remediation;AC.L2-3.1.18,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.18 Mobile Device Connection.",Gaps for AC.L2-3.1.18 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.19 Encrypt CUI on Mobile,L2 Access Control,Level 2,AC,AC.L2-3.1.19,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.19,Validate implementation of AC.L2-3.1.19 Encrypt CUI on Mobile in the live CUI environment.,AC.L2-3.1.19 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.19,L2 Access Control,Level 2,AC,AC.L2-3.1.19,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.19 Encrypt CUI on Mobile; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.19,Collect artifact and operational proof for AC.L2-3.1.19 Encrypt CUI on Mobile.,"Evidence for AC.L2-3.1.19 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.19 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.19,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.19,L2;AC;Remediation;AC.L2-3.1.19,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.19 Encrypt CUI on Mobile.",Gaps for AC.L2-3.1.19 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.20 External Systems,L2 Access Control,Level 2,AC,AC.L2-3.1.20,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.20,Validate implementation of AC.L2-3.1.20 External Systems in the live CUI environment.,AC.L2-3.1.20 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.20,L2 Access Control,Level 2,AC,AC.L2-3.1.20,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.20 External Systems; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.20,Collect artifact and operational proof for AC.L2-3.1.20 External Systems.,"Evidence for AC.L2-3.1.20 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.20 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.20,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.20,L2;AC;Remediation;AC.L2-3.1.20,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.20 External Systems.",Gaps for AC.L2-3.1.20 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.21 Portable Storage Use,L2 Access Control,Level 2,AC,AC.L2-3.1.21,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.21,Validate implementation of AC.L2-3.1.21 Portable Storage Use in the live CUI environment.,AC.L2-3.1.21 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.21,L2 Access Control,Level 2,AC,AC.L2-3.1.21,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.21 Portable Storage Use; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.21,Collect artifact and operational proof for AC.L2-3.1.21 Portable Storage Use.,"Evidence for AC.L2-3.1.21 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.21 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.21,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.21,L2;AC;Remediation;AC.L2-3.1.21,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.21 Portable Storage Use.",Gaps for AC.L2-3.1.21 are closed or formally tracked in the POA&M with owner and due date.
Validate AC.L2-3.1.22 Control Public Information,L2 Access Control,Level 2,AC,AC.L2-3.1.22,Complete AC Level 2 family readiness,Practice,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,AC Level 2 policy and procedure; SSP,L2;AC;Practice;AC.L2-3.1.22,Validate implementation of AC.L2-3.1.22 Control Public Information in the live CUI environment.,AC.L2-3.1.22 is implemented or a concrete gap is documented.
Collect evidence for AC.L2-3.1.22,L2 Access Control,Level 2,AC,AC.L2-3.1.22,Complete AC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,Validate AC.L2-3.1.22 Control Public Information; Level 2 evidence index,L2;AC;Evidence;AC.L2-3.1.22,Collect artifact and operational proof for AC.L2-3.1.22 Control Public Information.,"Evidence for AC.L2-3.1.22 is current, stored, and mapped in the evidence index."
Remediate AC.L2-3.1.22 gaps,L2 Access Control,Level 2,AC,AC.L2-3.1.22,Complete AC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,POA&M; evidence review for AC.L2-3.1.22,L2;AC;Remediation;AC.L2-3.1.22,"Close any documentation, implementation, or evidence gaps found for AC.L2-3.1.22 Control Public Information.",Gaps for AC.L2-3.1.22 are closed or formally tracked in the POA&M with owner and due date.
Complete AT Level 2 family readiness,L2 Awareness & Training,Level 2,AT,,,Epic,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Level 2 SSP; owner matrix; evidence index,L2;AT;Epic;Family,"Complete Level 2 AT documentation, implementation validation, evidence, review, and approval.",AT Level 2 family package is complete and traceable to all applicable practices.
Finalize AT Level 2 policy,L2 Awareness & Training,Level 2,AT,,Complete AT Level 2 family readiness,Policy,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Existing Level 2 templates; SSP,L2;AT;Policy,Tailor the existing Level 2 AT policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize AT Level 2 procedure,L2 Awareness & Training,Level 2,AT,,Complete AT Level 2 family readiness,Procedure,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,Existing Level 2 templates; SSP,L2;AT;Procedure,Tailor the existing Level 2 AT procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
Validate AT Level 2 family implementation,L2 Awareness & Training,Level 2,AT,,Complete AT Level 2 family readiness,Implementation,Critical,Andy Volk,Joshua Hornback; Sulaiman Ahmad,AT policy and procedure; SSP,L2;AT;Implementation,"Validate the family-level implementation approach, records, system behavior, and operating cadence for AT.",Family-level implementation checks are complete and deficiencies are recorded.
Collect AT Level 2 family evidence set,L2 Awareness & Training,Level 2,AT,,Complete AT Level 2 family readiness,Evidence,Critical,Andy Volk,Joshua Hornback; Sulaiman Ahmad,AT implementation validation; Level 2 evidence index,L2;AT;Evidence,Assemble the baseline artifact and proof set for the Level 2 AT family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review AT Level 2 family package,L2 Awareness & Training,Level 2,AT,,Complete AT Level 2 family readiness,Review,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,AT family evidence set; POA&M,L2;AT;Review,"Review the full Level 2 AT package for completeness, traceability, and assessment readiness.",The family package passes internal review or has tracked corrective actions.
Approve AT Level 2 family package,L2 Awareness & Training,Level 2,AT,,Complete AT Level 2 family readiness,Approval,High,Ryan Lin,Andy Volk,AT family review complete,L2;AT;Approval;Executive,Approve the Level 2 AT package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate AT.L2-3.2.1 Role-Based Risk Awareness,L2 Awareness & Training,Level 2,AT,AT.L2-3.2.1,Complete AT Level 2 family readiness,Practice,High,Andy Volk,Joshua Hornback; Sulaiman Ahmad,AT Level 2 policy and procedure; SSP,L2;AT;Practice;AT.L2-3.2.1,Validate implementation of AT.L2-3.2.1 Role-Based Risk Awareness in the live CUI environment.,AT.L2-3.2.1 is implemented or a concrete gap is documented.
