Title,Bucket,Level,Domain,Workstream,Priority,Owner,Supporting Owners,Source Files,Source Notes,Description,Definition of Done,Labels
Tailor the Level 2 risk assessment policy and procedure,L2 Risk Assessment,Level 2,RA,Policy,High,Joshua Hornback,Sulaiman Ahmad,level_2/RiskAssessmentPolicyLevel2-3v01a.md; level_2/RiskAssessmentProcedureLevel2-3v01a.md; level_2/CMMC_L2_SSP_062025.md,Use the RA files and SSP mappings for 3.11.1 through 3.11.3.,"Update the risk assessment documents to describe the real cadence, vulnerability scanning approach, remediation workflow, and who owns decisions on risk acceptance or closure.",The RA documentation reflects the actual risk and vulnerability management process used by the organization.,L2;RA;Policy
Validate Level 2 scanning cadence and remediation workflow,L2 Risk Assessment,Level 2,RA,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,level_2/RiskAssessmentProcedureLevel2-3v01a.md; level_2/L2_prep_POAM_tracker.md,Use the RA procedure and the POA&M tracker.,"Confirm that vulnerability scans happen with a defined cadence, that results are reviewed, and that remediation actions are tracked to closure.",The RA controls are validated with real scanning and remediation records or the gaps are clearly documented in the POA&M.,L2;RA;Implementation
Collect Level 2 RA evidence,L2 Risk Assessment,Level 2,RA,Evidence,High,Andy Volk,Joshua Hornback,level_2/L2_prep_evidence_index.md; level_2/RiskAssessmentPolicyLevel2-3v01a.md,Use the evidence index and RA family files.,"Collect the scan outputs, review notes, and remediation records needed to support the risk assessment family during readiness review.","The RA evidence set is organized, current, and traceable to the applicable practices.",L2;RA;Evidence
Tailor the Level 2 security assessment policy and procedure,L2 Security Assessment,Level 2,CA,Policy,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,level_2/SecurityAssessmentPolicyLevel2-3v01a.md; level_2/SecurityAssessmentProcedureLevel2-3v01a.md; level_2/CMMC_L2_SSP_062025.md,Use the CA files and SSP mappings for 3.12.1 through 3.12.4.,"Update the security assessment documents so they describe the organization’s real assessment cadence, monitoring approach, POA&M handling, and SSP maintenance model.",The CA documentation reflects the actual internal assessment and monitoring process used by the organization.,L2;CA;Policy
"Validate Level 2 assessment, monitoring, and POA&M use",L2 Security Assessment,Level 2,CA,Implementation,Critical,Joshua Hornback,Andy Volk; Sulaiman Ahmad,level_2/SecurityAssessmentProcedureLevel2-3v01a.md; level_2/L2_prep_POAM_tracker.md; level_2/CMMC_L2_SSP_062025.md,"Use the CA procedure, POA&M tracker, and SSP.","Confirm that the organization can show recurring assessment activity, tracked deficiencies, control monitoring, and active SSP maintenance rather than one-time documentation.","The CA family is supported by an operating assessment process, not only written documents.",L2;CA;Implementation
Collect Level 2 CA evidence,L2 Security Assessment,Level 2,CA,Evidence,High,Andy Volk,Joshua Hornback,level_2/L2_prep_evidence_index.md; level_2/SecurityAssessmentPolicyLevel2-3v01a.md,Use the evidence index and CA family files.,"Collect the records that demonstrate the security assessment program is operating, including internal reviews, POA&M updates, and SSP maintenance evidence.","The CA evidence set is current, organized, and ready for mock assessment walkthrough.",L2;CA;Evidence
Create and tailor the Level 2 SC policy and procedure set,L2 System & Communications Protection,Level 2,SC,Policy,Critical,Joshua Hornback,Sulaiman Ahmad,level_2/L2_gap_missing_domain_artifacts.md; level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,SC is called out as missing from the Level 2 folder. Use the SSP mappings for 3.13.1 through 3.13.16.,"Create the System and Communications Protection policy and procedure set for the real environment. Cover boundary protection, segmentation, encryption, remote paths, key management, data in transit and at rest, split tunneling, and communications authenticity.",There is a usable SC policy and procedure set mapped to the Level 2 SC practices and tailored to the live environment.,L2;SC;Policy;Gap
"Validate Level 2 boundary, encryption, and remote communication controls",L2 System & Communications Protection,Level 2,SC,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,Use the SSP SC mappings and handbook examples for communications protection.,"Review the actual environment for segmentation, boundary controls, encryption use, remote administration paths, split tunneling, public system separation, and communication integrity.","The SC controls are validated against the live environment, and implementation gaps are either fixed or recorded in the POA&M.",L2;SC;Implementation
Collect Level 2 SC evidence,L2 System & Communications Protection,Level 2,SC,Evidence,High,Andy Volk,Joshua Hornback,level_2/L2_prep_evidence_index.md; level_2/CMMC_L2_SSP_062025.md,Use the evidence index and the SSP architecture content.,"Collect the network diagrams, firewall or segmentation references, encryption settings, and other proof needed to support the SC family during internal review.","The SC evidence set is current, organized, and mapped to the evidence index.",L2;SC;Evidence
Create and tailor the Level 2 SI policy and procedure set,L2 System & Information Integrity,Level 2,SI,Policy,Critical,Joshua Hornback,Sulaiman Ahmad,level_2/L2_gap_missing_domain_artifacts.md; level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,SI is called out as missing from the Level 2 folder. Use the SSP mappings for 3.14.1 through 3.14.7.,"Create the System and Information Integrity policy and procedure set for the real environment. Cover flaw remediation, malicious code protection, alerts and advisories, periodic scans, communications monitoring, and unauthorized use detection.",There is a usable SI policy and procedure set mapped to the Level 2 SI practices and tailored to the live environment.,L2;SI;Policy;Gap
"Validate Level 2 patching, scanning, alerting, and misuse detection",L2 System & Information Integrity,Level 2,SI,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,level_2/CMMC_L2_SSP_062025.md; CMMC Class Handbook.md,Use the SSP SI mappings and handbook SI guidance.,"Review the actual patching, antivirus, monitoring, and scanning processes in the environment to confirm the documented control set is true in practice.","The SI controls are validated with current operational proof, and any weak areas are captured in the POA&M.",L2;SI;Implementation
Collect Level 2 SI evidence,L2 System & Information Integrity,Level 2,SI,Evidence,High,Andy Volk,Joshua Hornback,level_2/L2_prep_evidence_index.md; level_2/CMMC_L2_SSP_062025.md,Use the evidence index and the SSP SI mappings.,"Collect the scan outputs, patch records, alert handling examples, monitoring records, and other proof needed to support the SI family during readiness review.","The SI evidence set is current, organized, and traceable to the applicable Level 2 practices.",L2;SI;Evidence
